Unicode	字	地區	粵拼	備註
U+3400	㐀	G,J,T	jau1	無
U+3401	㐁	G,K,T	tim2	無
U+3402	㐂	J	cat1	無
U+3403	㐃	K	zim1	無
U+3404	㐄	G,J,T	kwaa1	無
U+3405	㐅	G,J,T	m5,ng5	無
U+3406	㐆	G,J,T	ji1,zaan2	無
U+3407	㐇	K	gau2	無
U+3408	㐈	K	jap6	無
U+3409	㐉	K	？	無
U+340A	㐊	K	？	無
U+340B	㐋	K	？	無
U+340C	㐌	G,KP,T,V	zyu4	無
U+340D	㐍	K	？	無
U+340E	㐎	K	？	無
U+340F	㐏	K	？	無
U+3410	㐐	K	？	無
U+3411	㐑	K	？	無
U+3412	㐒	K	？	無
U+3413	㐓	K	？	無
U+3414	㐔	K	？	無
U+3415	㐕	K	？	無
U+3416	㐖	G,T	zip6	無
U+3417	㐗	K	？	無
U+3418	㐘	K	？	無
U+3419	㐙	K	？	無
U+341A	㐚	K	？	無
U+341B	㐛	K	？	無
U+341C	㐜	G,KP,K,T	caau4	無
U+341D	㐝	K	？	無
U+341E	㐞	K	？	無
U+341F	㐟	K	？	無
U+3420	㐠	K	？	無
U+3421	㐡	G,T	no6	無
U+3422	㐢	K	？	無
U+3423	㐣	K	？	無
U+3424	㐤	G,T	kaau4	無
U+3425	㐥	KP,K	？	無
U+3426	㐦	K	？	無
U+3427	㐧	J	？	無
U+3428	㐨	G,T	zeoi6	無
U+3429	㐩	G,T	zing4	無
U+342A	㐪	J	？	無
U+342B	㐫	G,T	gun3,hung1,zung1	無
U+342C	㐬	G,J,T	lau4	無
U+342D	㐭	G,J,KP,T	lam5	無
U+342E	㐮	G,J,T	soeng1	無
U+342F	㐯	G,J	jung4	無
U+3430	㐰	G,J,T	seon3	無
U+3431	㐱	G,KP,T,V	caa5,caan2,dou3,zaan2	無
U+3432	㐲	G,K,T	daai6	無
U+3433	㐳	G,T	ngaat6	無
U+3434	㐴	G,T	paan1	無
U+3435	㐵	G,H	jyu4	無
U+3436	㐶	J,T	？	無
U+3437	㐷	G	maa6	無
U+3438	㐸	G,T	gim1,him3	無
U+3439	㐹	G,T	go1,kwok3,ngaat6	無
U+343A	㐺	G,J,K,T	zung3	無
U+343B	㐻	G,T,V	fu1,mou5,noi6	無
U+343C	㐼	G,KP,T	cing2	無
U+343D	㐽	G	fung1	無
U+343E	㐾	G,T	？	無
U+343F	㐿	K	？	無
U+3440	㑀	H,K	taai3	無
U+3441	㑁	G,J,KP,T	zyut3,zyut6	無
U+3442	㑂	G,J,T	fong2,pong4	無
U+3443	㑃	G,K,T	au2,au3,paai1	無
U+3444	㑄	G,KP,T	mou5	無
U+3445	㑅	G,J,KP,T	zok3,zok6	無
U+3446	㑆	G	？	無
U+3447	㑇	G	zaau3	無
U+3448	㑈	G	dung1	無
U+3449	㑉	G,T	cuk1	無
U+344A	㑊	G,H,KP,K,T	zik6	無
U+344B	㑋	G,KP,T	kung4	無
U+344C	㑌	G,H,KP,K,T	hong1	無
U+344D	㑍	G,T,V	leoi5	無
U+344E	㑎	G,T	nou5	無
U+344F	㑏	G,T,V	cyu5,zyu2	無
U+3450	㑐	G,J,T	suk1	無
U+3451	㑑	T	？	無
U+3452	㑒	J	？	無
U+3453	㑓	J,T	？	無
U+3454	㑔	G	seoi2	無
U+3455	㑕	G	？	無
U+3456	㑖	K	？	無
U+3457	㑗	G,KP,T	saan1,saan6	無
U+3458	㑘	G,J,T	gaai3	無
U+3459	㑙	G,KP,T	dip6	無
U+345A	㑚	G,T	naa4,no4	無
U+345B	㑛	G,KP,T	cuk1	無
U+345C	㑜	G,KP,T	zaai6	無
U+345D	㑝	G,KP,T	lung6	無
U+345E	㑞	G,J,T	zing6	無
U+345F	㑟	G,KP,T	mang1	無
U+3460	㑠	G	？	無
U+3461	㑡	K	？	無
U+3462	㑢	G	？	無
U+3463	㑣	G,KP,K,T	lam2,lam4	無
U+3464	㑤	G,H,J,T	miu4	無
U+3465	㑥	G,KP,T	zi6	無
U+3466	㑦	G,J,KP,K,T	leoi6	無
U+3467	㑧	G,J,K,T	gwai3	無
U+3468	㑨	J	zyu5	無
U+3469	㑩	G	lo4	無
U+346A	㑪	J	caai4	無
U+346B	㑫	G,V	？	無
U+346C	㑬	K	？	無
U+346D	㑭	K	？	無
U+346E	㑮	G,T	gwaat1,waan4	無
U+346F	㑯	G,T	seoi1	無
U+3470	㑰	G,T	fui4	無
U+3471	㑱	G,K,T	nau4	無
U+3472	㑲	K	？	無
U+3473	㑳	G,H,KP,K,T	zaau3	無
U+3474	㑴	G,KP,T	caam1,cam1	無
U+3475	㑵	G,K,T	zat6	無
U+3476	㑶	G,KP,T	haai4,hei3	無
U+3477	㑷	G,KP,K,T	taai3	無
U+3478	㑸	G,J	ziu4	無
U+3479	㑹	J,KP,T	gwat3,mok6,wui6	無
U+347A	㑺	G,H,T	zeoi6,zeon3	無
U+347B	㑻	G,KP,T	maa6,mei5	無
U+347C	㑼	G,T	loek6	無
U+347D	㑽	G,H,T	tong4	無
U+347E	㑾	G,H,KP,K,T	ziu4	無
U+347F	㑿	G,KP,T	coek3,huk6,zau3,ziu6	無
U+3480	㒀	G,KP,K,T	cim4,cip3,zak6	無
U+3481	㒁	G,KP,K,T	sou3,zyu5	無
U+3482	㒂	G,T	zoek6	無
U+3483	㒃	G,K,T	zi6	無
U+3484	㒄	G,KP,T	ngam4,zim5	無
U+3485	㒅	G,KP,K,T	kai2	無
U+3486	㒆	G,T	kap1	無
U+3487	㒇	G,K,T	ng5	無
U+3488	㒈	G,T	hon6	無
U+3489	㒉	G,T	tong2	無
U+348A	㒊	G,KP,T	saap1,sik1	無
U+348B	㒋	G,T	si1	無
U+348C	㒌	G,T	king4	無
U+348D	㒍	G,KP,T	leoi5	無
U+348E	㒎	G,T	sat3	無
U+348F	㒏	K	？	無
U+3490	㒐	K	？	無
U+3491	㒑	G,KP,T	hung2,kui2,wak6	無
U+3492	㒒	G,J,KP,T	buk6	無
U+3493	㒓	G,H,KP,K,T	taat3	無
U+3494	㒔	G,KP,K,T	suk6	無
U+3495	㒕	G,KP,T	zoeng1	無
U+3496	㒖	G,H,T	ngaau5	無
U+3497	㒗	T	toi4	無
U+3498	㒘	G	？	無
U+3499	㒙	G,KP,T,V	min4,min6	無
U+349A	㒚	G,KP,T	waan2	無
U+349B	㒛	G,KP,K,T	deoi2,diu6	無
U+349C	㒜	G,KP,K,T	zyu5	無
U+349D	㒝	G,KP,T	mit6,ziu5	無
U+349E	㒞	G,T	zeon3	無
U+349F	㒟	G,KP,K,T	niu5,seoi1	無
U+34A0	㒠	G,KP,T	haai6	無
U+34A1	㒡	G,T	zaau4	無
U+34A2	㒢	K	？	無
U+34A3	㒣	K	？	無
U+34A4	㒤	G,KP,K,T	sip3,zip3	無
U+34A5	㒥	G,H,T	fung1,gaam2	無
U+34A6	㒦	G,KP,T	deoi3,leoi5	無
U+34A7	㒧	G,K,T	lai6	無
U+34A8	㒨	G,T	sin1	無
U+34A9	㒩	G,KP,K,T	lo2	無
U+34AA	㒪	G,T	sek3	無
U+34AB	㒫	G,J,T	gei3,hei2	無
U+34AC	㒬	G,T	？	無
U+34AD	㒭	G,T	kwaan1,kwaan1,leoi4	無
U+34AE	㒮	G	？	無
U+34AF	㒯	H,K,T	jip6	無
U+34B0	㒰	G,T	cyun4,zan2	無
U+34B1	㒱	K	？	無
U+34B2	㒲	G,K,T	coi4	無
U+34B3	㒳	G,KP,T	loeng5	無
U+34B4	㒴	G,J,T	gwat1	無
U+34B5	㒵	G,J,T	mau6,mo1	無
U+34B6	㒶	G,J,T	gung1	無
U+34B7	㒷	G,T,V	hing2,hing3	無
U+34B8	㒸	G,T	seoi6	無
U+34B9	㒹	G,KP,K,T	din1	無
U+34BA	㒺	T	？	無
U+34BB	㒻	G,T	mou6	無
U+34BC	㒼	G,H,J,K,T	mang4,mun4	無
U+34BD	㒽	G,T	hyun1	無
U+34BE	㒾	G,T	si6	無
U+34BF	㒿	G,KP,T	lei4	無
U+34C0	㓀	K	？	無
U+34C1	㓁	H,J	mong5	無
U+34C2	㓂	G,T	kaau3,taau3	無
U+34C3	㓃	G,J,K,T	dou3	無
U+34C4	㓄	G,T	saam2,zaam3	無
U+34C5	㓅	G,T	ding1,ting1	無
U+34C6	㓆	G	？	無
U+34C7	㓇	J,T	？	無
U+34C8	㓈	G,H,T	bing1	無
U+34C9	㓉	G,K,T	gwaat3,gwat3,kut3,wun6,wut6	無
U+34CA	㓊	G,T	dung6	無
U+34CB	㓋	G,T	gung6	無
U+34CC	㓌	G,T	cang1,cang1,gwai3,ting4,tong3	無
U+34CD	㓍	G	？	無
U+34CE	㓎	G,T	caam1,saam6	無
U+34CF	㓏	G,K,T	gwing2	無
U+34D0	㓐	G,T	luk6	無
U+34D1	㓑	G,KP,K,T	haang6	無
U+34D2	㓒	K	？	無
U+34D3	㓓	G,T	lam5,nam4	無
U+34D4	㓔	G,T	ze6	無
U+34D5	㓕	T	？	無
U+34D6	㓖	G,KP,K,T	bit1	無
U+34D7	㓗	G,J,T	git3	無
U+34D8	㓘	G,T	suk1	無
U+34D9	㓙	K	hung1,kung4	無
U+34DA	㓚	G,KP,T	geoi6,gung1,kung4	無
U+34DB	㓛	J,T	gung1	無
U+34DC	㓜	G,J,T	zaau3,ziu3	無
U+34DD	㓝	G,J,T	zing4	無
U+34DE	㓞	G,T	kaai3	無
U+34DF	㓟	G,H,T,V	ngo4,pai1,pei1	無
U+34E0	㓠	G,KP,T,V	dim3	無
U+34E1	㓡	G,T	fu2	無
U+34E2	㓢	G,KP,T,U	lok3	無
U+34E3	㓣	G,T	got3,zak6	無
U+34E4	㓤	G,H,K,T	gat1,hot3,kit3,kit6	無
U+34E5	㓥	G	tong1	無
U+34E6	㓦	G,H	bak3	無
U+34E7	㓧	G,T	deoi1,haang1,zim1,zim2	無
U+34E8	㓨	G,KP,T	ci3	無
U+34E9	㓩	G,T	fan3,hin2,hyun1	無
U+34EA	㓪	G,J,K	long5	無
U+34EB	㓫	G	？	無
U+34EC	㓬	G,J,T	fu1	無
U+34ED	㓭	G,T,V	hot3	無
U+34EE	㓮	G,T	diu1	無
U+34EF	㓯	G,T	lei4	無
U+34F0	㓰	K	waak6	無
U+34F1	㓱	G,T	syu1	無
U+34F2	㓲	G,J,K,T	pin3	無
U+34F3	㓳	G,T	dai1	無
U+34F4	㓴	G,T	zyun5	無
U+34F5	㓵	G,K,T	ngok6	無
U+34F6	㓶	G,KP,T,V	kit3	無
U+34F7	㓷	G,T	nau4,zi6	無
U+34F8	㓸	G,K,T	coek3,sau2,zoek3	無
U+34F9	㓹	G,T	zeoi6	無
U+34FA	㓺	G,K,T	gin1,gin6,kin4	無
U+34FB	㓻	G,H,KP,K,T	gong1	無
U+34FC	㓼	G,K,T	？	無
U+34FD	㓽	G,T	sung4	無
U+34FE	㓾	G,T,U	sai1	無
U+34FF	㓿	K	？	無
U+3500	㔀	G,K,T	king4	無
U+3501	㔁	G,J,T	daang1,taang1	無
U+3502	㔂	G,T	leon4	無
U+3503	㔃	G,T	zyut6	無
U+3504	㔄	G,KP,T	suk1	無
U+3505	㔅	G,T	siu3	無
U+3506	㔆	G,H,KP,T	caam5	無
U+3507	㔇	G,T	put3	無
U+3508	㔈	G	？	無
U+3509	㔉	G	cung2,zuk1	無
U+350A	㔊	G,T	tan2	無
U+350B	㔋	G,K,T	ham3,ham5,lam6	無
U+350C	㔌	G,K,T	sei3,tam3,zap3,zau6,zek3,zik3	無
U+350D	㔍	G,T	cap3,zaa3,zaai3	無
U+350E	㔎	G,K,T	sit3	無
U+350F	㔏	G,K,T	gak3,lik6	無
U+3510	㔐	G,K,T	cim1	無
U+3511	㔑	G,T	？	無
U+3512	㔒	G,K,T	kwai4	無
U+3513	㔓	G,J,T	gin2,zin2	無
U+3514	㔔	K	？	無
U+3515	㔕	G,J,T	gaat1,kaau1	無
U+3516	㔖	K	？	無
U+3517	㔗	G,J,T	bei6,faai3,fan4,gaat1,ngaat6	無
U+3518	㔘	T	zeot1	無
U+3519	㔙	G,T	ping1	無
U+351A	㔚	G,J,T	aau2,haau2	無
U+351B	㔛	K	？	無
U+351C	㔜	G,J,T	but6	無
U+351D	㔝	G,K,T	loeng5	無
U+351E	㔞	G,T	fai3	無
U+351F	㔟	J	？	無
U+3520	㔠	G,KP,T	hat6	無
U+3521	㔡	G,T	bit3	無
U+3522	㔢	G,T	waai4,zyut6	無
U+3523	㔣	G,T	leoi4	無
U+3524	㔤	G,T	saam2	無
U+3525	㔥	G,K,T	baai6,pei4	無
U+3526	㔦	G,J,T	zoeng5,zoeng6	無
U+3527	㔧	G,K,T,V	leoi6	無
U+3528	㔨	G,T	bui3	無
U+3529	㔩	G,KP,K,T	aap6	無
U+352A	㔪	G,T	lou5	無
U+352B	㔫	J	？	無
U+352C	㔬	G,J,T	coek3,zau3	無
U+352D	㔭	G,T	ci4	無
U+352E	㔮	G,T	？	無
U+352F	㔯	G,KP,T	syun3	無
U+3530	㔰	G,J,T	hang4	無
U+3531	㔱	G,J,T	zyu5	無
U+3532	㔲	T	？	無
U+3533	㔳	G,J,T	gei2,gwaai2	無
U+3534	㔴	G,J,T	zik6	無
U+3535	㔵	G,J,T	syun2,wan4	無
U+3536	㔶	G,KP,T,U	gaam2,gung3,zi1	無
U+3537	㔷	G,T	lau6	無
U+3538	㔸	G,KP,T,U	cam2,taai1,zyun1	無
U+3539	㔹	G,T	lak6	無
U+353A	㔺	G,J,T	saai3,si6	無
U+353B	㔻	G,T	pei1	無
U+353C	㔼	G,J,T	seon2	無
U+353D	㔽	G,T	zaau5	無
U+353E	㔾	G,H,J,K,T	zit3	無
U+353F	㔿	G,K,T	zau3	無
U+3540	㕀	K,T	？	無
U+3541	㕁	G,K,T	koek3	無
U+3542	㕂	G,T	zaam4,zaam6	無
U+3543	㕃	G,J,T	him3,kaai1,lim4,zap3	無
U+3544	㕄	G,T	zi3	無
U+3545	㕅	G,T	gaap3	無
U+3546	㕆	G,T	wu6	無
U+3547	㕇	G,K,T	lap3	無
U+3548	㕈	G,T	at3,zi2	無
U+3549	㕉	G,T	？	無
U+354A	㕊	G,T	bou1,bou1	無
U+354B	㕋	G,T	kam4	無
U+354C	㕌	G,K,T	ngoi6,zak6	無
U+354D	㕍	G,T	deoi1	無
U+354E	㕎	G,K,T	？	無
U+354F	㕏	G,K,T	cyu4	無
U+3550	㕐	G,K,T	se2	無
U+3551	㕑	G,H,KP,T	ceoi4,cyu4	無
U+3552	㕒	G,KP,T	faai1,waai4,waai6	無
U+3553	㕓	H,J,KP	cin4	無
U+3554	㕔	KP,T	teng1,ting1	無
U+3555	㕕	G,T	nap6,wan6	無
U+3556	㕖	G,T	sou3	無
U+3557	㕗	G,K,T	zaau5	無
U+3558	㕘	G,T	caam1,sam1	無
U+3559	㕙	G,H,KP,K,T	zeon3	無
U+355A	㕚	G,J,KP,T	zaau2	無
U+355B	㕛	G,J,KP,T	zaau5	無
U+355C	㕜	G,J,T	sei3,si2	無
U+355D	㕝	J	？	無
U+355E	㕞	G,J,T	caat3	無
U+355F	㕟	G,KP,T	wai2	無
U+3560	㕠	G,T	soeng1	無
U+3561	㕡	G,H,T	hang1,kok3	無
U+3562	㕢	G,KP,T	？	無
U+3563	㕣	G,J,T	zin2	無
U+3564	㕤	G,T	gwaai2,kaau4	無
U+3565	㕥	G,T	zyu5	無
U+3566	㕦	G,J,KP,K,T	waa6,zyu5	無
U+3567	㕧	G,J,KP,T	si1	無
U+3568	㕨	G	faan6	無
U+3569	㕩	G,T	zoeng3	無
U+356A	㕪	G,K,T	dam2	無
U+356B	㕫	G,T	fong2	無
U+356C	㕬	G,T	gung1,zung6	無
U+356D	㕭	G,H,KP,K,T,V	au3,jaau1	無
U+356E	㕮	G,J,KP,T	fu2	無
U+356F	㕯	G,J,T	neot6	無
U+3570	㕰	G,H,T,V	huk6,maa3	無
U+3571	㕱	G,KP,T	zaau4	無
U+3572	㕲	G,H,T	muk1,zing4	無
U+3573	㕳	G,K,T	hung1	無
U+3574	㕴	G	caam4	無
U+3575	㕵	G,J,T,V	gwok3	無
U+3576	㕶	G,T	ng6	無
U+3577	㕷	G,H,T	pak1	無
U+3578	㕸	G,H,T,V	lai6,lap1,lap6	無
U+3579	㕹	G,J,K,T	fat6	無
U+357A	㕺	G,T	hiu1	無
U+357B	㕻	G,K,T	faau2,fu3,taau3	無
U+357C	㕼	G,KP,K,T	dung6,hung1	無
U+357D	㕽	G,J	cek3,ci5,ji5	無
U+357E	㕾	K	？	無
U+357F	㕿	K	？	無
U+3580	㖀	G,T	laak6,lak6,loet3	無
U+3581	㖁	G,KP,T	leon6	無
U+3582	㖂	G,T	zaai6	無
U+3583	㖃	G,KP,K,T	haam1,haau3,haau6	無
U+3584	㖄	G,H,K,T	zaau1,zaau3	無
U+3585	㖅	G,T,V	seot1	無
U+3586	㖆	G,T	kuk1	無
U+3587	㖇	G,T,V	mei1,ji4,zi4	無
U+3588	㖈	K,T	？	無
U+3589	㖉	G	？	無
U+358A	㖊	G	？	無
U+358B	㖋	K	？	無
U+358C	㖌	K	？	無
U+358D	㖍	K	？	無
U+358E	㖎	K	？	無
U+358F	㖏	G,T	nip6	無
U+3590	㖐	G,T	do6,hei3,waai2	無
U+3591	㖑	G,T,V	hai6	無
U+3592	㖒	G,T	tai4	無
U+3593	㖓	G,T	hung4	無
U+3594	㖔	G,T,V	taan1	無
U+3595	㖕	G,T	zip6,zit6	無
U+3596	㖖	G,J,T	saan1,zip6,zit6	無
U+3597	㖗	G,H,T,V	zaam4	無
U+3598	㖘	G,H,T	san2,seon2	無
U+3599	㖙	K	？	無
U+359A	㖚	K	？	無
U+359B	㖛	K	？	無
U+359C	㖜	K	？	無
U+359D	㖝	K	？	無
U+359E	㖞	G	waa1	無
U+359F	㖟	G,KP,T	sau6	無
U+35A0	㖠	G,T,V	nap6,no4	無
U+35A1	㖡	G,H,KP,T,V	e6,ze6	無
U+35A2	㖢	G,J,T	ci1	無
U+35A3	㖣	G,T,V	bu4,tau3	無
U+35A4	㖤	G,T	haam4	無
U+35A5	㖥	G,H,T	kwaan3,leon1,zeon1	無
U+35A6	㖦	G,J,T	dung2	無
U+35A7	㖧	G,KP,K,T,V	faan1	無
U+35A8	㖨	G,J,T	luk6	無
U+35A9	㖩	G,KP,T	zaau1	無
U+35AA	㖪	G,K,T,V	gwok3	無
U+35AB	㖫	G,J,T,V	ling4	無
U+35AC	㖬	G	？	無
U+35AD	㖭	G,H	tim1,tim2	無
U+35AE	㖮	G,K	leon4,leon4	無
U+35AF	㖯	K	？	無
U+35B0	㖰	K	？	無
U+35B1	㖱	K	？	無
U+35B2	㖲	K	？	無
U+35B3	㖳	K	？	無
U+35B4	㖴	T	？	無
U+35B5	㖵	G,T	？	無
U+35B6	㖶	G,J,T	zin1,zin3,zit3	無
U+35B7	㖷	G,T	taai4	無
U+35B8	㖸	G,T,V	koek6	無
U+35B9	㖹	G,K,T,V	fu2,paan3,pun4	無
U+35BA	㖺	G,KP,T,V	ceon2	無
U+35BB	㖻	G,KP,T,V	zaau4	無
U+35BC	㖼	G,T,V	mau4	無
U+35BD	㖽	G,T,V	zaak3	無
U+35BE	㖾	G,T	ngok6	無
U+35BF	㖿	G,H,T	ce4,ze4	無
U+35C0	㗀	G,KP,K,T,V	zaau1	無
U+35C1	㗁	G,H,J,KP,K,T,V	ngok6,zit6	無
U+35C2	㗂	G,T,V	saang2	無
U+35C3	㗃	G,KP,T	maan4,maan5	無
U+35C4	㗄	G,T	man4,man6,ming4	無
U+35C5	㗅	G,H,J,KP,T,V	wu4	無
U+35C6	㗆	G,J,T	gaak3	無
U+35C7	㗇	G,H,J,T	gaa5,haa4	無
U+35C8	㗈	G,T,V	maan6	無
U+35C9	㗉	G,KP,T	loek6	無
U+35CA	㗊	G,H,T	leoi4,lo4	無
U+35CB	㗋	G,KP,T	hau4	無
U+35CC	㗌	G,K,T	zaat6	無
U+35CD	㗍	G,T	？	無
U+35CE	㗎	G,H	gaa2,gaa3,gaa4	無
U+35CF	㗏	G	？	無
U+35D0	㗐	T	？	無
U+35D1	㗑	G,V	bai6	無
U+35D2	㗒	G,H	oi2	無
U+35D3	㗓	G,T	ci3,zeoi1	無
U+35D4	㗔	G,J,T	hin1	無
U+35D5	㗕	G,T,V	gaau3,ngaau1	無
U+35D6	㗖	G,H,J,KP,T,V	daam6	無
U+35D7	㗗	G,KP,T	bai2,bei1	無
U+35D8	㗘	G,KP,T	bok3,bok6	無
U+35D9	㗙	G,T,V	zaau1	無
U+35DA	㗚	G,J,T,V	lei6,leot6	無
U+35DB	㗛	G,H,J,T	siu3	無
U+35DC	㗜	G,KP,K,T,V	cau3	無
U+35DD	㗝	G,H	gou1	無
U+35DE	㗞	G,V	？	無
U+35DF	㗟	K	？	無
U+35E0	㗠	K	？	無
U+35E1	㗡	K	？	無
U+35E2	㗢	G,KP,T,V	hung1	無
U+35E3	㗣	G,T	daai3,taai3	無
U+35E4	㗤	G,J,K,T	cuk1	無
U+35E5	㗥	G,K,T	kwok3	無
U+35E6	㗦	G,KP,K,T	lou4	無
U+35E7	㗧	G,KP,T,U	zaat6	無
U+35E8	㗨	G,T	aai2,hai6	無
U+35E9	㗩	G,KP,T,V	ci1	無
U+35EA	㗪	G,T	？	無
U+35EB	㗫	G,J,KP,T	caai3,cam1,saam6	無
U+35EC	㗬	G,KP,K,T	zaa1	無
U+35ED	㗭	G,T	hei1	無
U+35EE	㗮	K	？	無
U+35EF	㗯	K	？	無
U+35F0	㗰	G,T	cung4,saai3	無
U+35F1	㗱	G,H,KP,T,V	zap6	無
U+35F2	㗲	G,H,KP,K,T	waak1,waak6,wok6	無
U+35F3	㗳	G,H,T,V	dap1,tap3	無
U+35F4	㗴	G,J,K,T,V	zin4	無
U+35F5	㗵	G,T	fat1	無
U+35F6	㗶	G,K,T,V	put3	無
U+35F7	㗷	G	coi3	無
U+35F8	㗸	K	？	無
U+35F9	㗹	K	？	無
U+35FA	㗺	G	？	無
U+35FB	㗻	G,H,KP,T	go6,gwo1,gwo3	無
U+35FC	㗼	G,T	zip6	無
U+35FD	㗽	G,T	hoeng1,hoeng2	無
U+35FE	㗾	G,H,T	heoi1	無
U+35FF	㗿	G,KP,T	laa4	無
U+3600	㘀	G,T	zok3	無
U+3601	㘁	G,T	zik6	無
U+3602	㘂	G,T	ci4	無
U+3603	㘃	G,V	？	無
U+3604	㘄	G,K	？	無
U+3605	㘅	G,J,KP,K,T	haam4	無
U+3606	㘆	G,T	toi4	無
U+3607	㘇	G,T,V	wing4,zing2	無
U+3608	㘈	G,KP,T,V	zi4	無
U+3609	㘉	G,H,KP,T,V	zit1,zit3	無
U+360A	㘊	G,KP,T	caau3,kaap1,zaau2,zuk1	無
U+360B	㘋	G,T,V	zin4	無
U+360C	㘌	G,T	kek6	無
U+360D	㘍	G,T	zik1	無
U+360E	㘎	G	ham3	無
U+360F	㘏	K	？	無
U+3610	㘐	G,T	cit3,pau3	無
U+3611	㘑	G,K,T	lai6	無
U+3612	㘒	K	？	無
U+3613	㘓	G,KP,T,V	laan4	無
U+3614	㘔	G,K,T	coi3	無
U+3615	㘕	G,T	ham3,lam4	無
U+3616	㘖	G,KP,T,V	ngan4	無
U+3617	㘗	G,K	？	無
U+3618	㘘	H,K	lyun2	無
U+3619	㘙	G,KP,K,T,V	gau1,gau2,hau6,ngam4	無
U+361A	㘚	G,H,T	gam1,ham3	無
U+361B	㘛	G,T	haam1,lim5	無
U+361C	㘜	G,J,T	caau1,caau4	無
U+361D	㘝	G,KP,T	nim2,nip6,zik1	無
U+361E	㘞	G,KP,T	deot1	無
U+361F	㘟	T	？	無
U+3620	㘠	G,K,T	baai3,dai1	無
U+3621	㘡	G,T	haap6	無
U+3622	㘢	G,J,KP,T	？	無
U+3623	㘣	G,H,T	zyun4	無
U+3624	㘤	G,KP,T	waan1	無
U+3625	㘥	G,H,T	zaau4	無
U+3626	㘦	G,T	kan4	無
U+3627	㘧	G,T	zeoi6	無
U+3628	㘨	G,T,V	nip6	無
U+3629	㘩	G,T	bei6	無
U+362A	㘪	G,KP,K,T	hou3,kaau3	無
U+362B	㘫	G,J,T	zing6	無
U+362C	㘬	G,T	au1	無
U+362D	㘭	G,H,T	au1,au3	無
U+362E	㘮	G	？	無
U+362F	㘯	T	？	無
U+3630	㘰	G,T	zam1	無
U+3631	㘱	G,T	taan1	無
U+3632	㘲	G,J,T	guk1	無
U+3633	㘳	G,T	zaau1	無
U+3634	㘴	G,J,KP,T	zo6	無
U+3635	㘵	G,H	bou3	無
U+3636	㘶	G,T	git6,miu5	無
U+3637	㘷	G,T	ngai6	無
U+3638	㘸	G,T	zong3	無
U+3639	㘹	G,H,T	ci4	無
U+363A	㘺	G,T	fat6	無
U+363B	㘻	G,T	zaan1	無
U+363C	㘼	G	？	無
U+363D	㘽	G,KP,K	？	無
U+363E	㘾	H,K	jyu5	無
U+363F	㘿	G,K,T	nip6	無
U+3640	㙀	G,T	lau6	無
U+3641	㙁	G,T,V	muk6	無
U+3642	㙂	G,T	deoi3	無
U+3643	㙃	G,T	bong1	無
U+3644	㙄	G,J,KP,T	bai6	無
U+3645	㙅	G,T	bou2	無
U+3646	㙆	K	？	無
U+3647	㙇	G,H,KP,T	cuk1	無
U+3648	㙈	G,H,T	laa4	無
U+3649	㙉	G,H,K,T	din6,tin2	無
U+364A	㙊	G,J,K,T	coeng4	無
U+364B	㙋	G,T	？	無
U+364C	㙌	G	？	無
U+364D	㙍	G,T	do1	無
U+364E	㙎	G,H,T	wai1	無
U+364F	㙏	G,KP,T	fuk1	無
U+3650	㙐	G,KP,T	deoi2,do2	無
U+3651	㙑	G,T	zyu5	無
U+3652	㙒	G,K,T	ze5,zi2	無
U+3653	㙓	G,T	？	無
U+3654	㙔	G,K	hon4	無
U+3655	㙕	G,T	faai3	無
U+3656	㙖	K	？	無
U+3657	㙗	G,K	fai3	無
U+3658	㙘	G,V	ziu1	無
U+3659	㙙	G,T	lung5	無
U+365A	㙚	G,T	sing1	無
U+365B	㙛	G,T	bou2	無
U+365C	㙜	G,T	ci4,toi4	無
U+365D	㙝	G,K,T	hip3	無
U+365E	㙞	G,T	nip6,saan1,zit6	無
U+365F	㙟	G,H	long5	無
U+3660	㙠	G,K,T	aai3	無
U+3661	㙡	G,H,KP,T	zung1	無
U+3662	㙢	G,K,T	man6,mang6	無
U+3663	㙣	G,T	zoeng3	無
U+3664	㙤	G,KP,T,V	laa3	無
U+3665	㙥	G,T	gwaan2,waan6,wat6	無
U+3666	㙦	G	？	無
U+3667	㙧	G,KP,K,T	？	無
U+3668	㙨	G,T	gei1	無
U+3669	㙩	G,KP,T	laau6,liu4,liu4	無
U+366A	㙪	G,KP,T	zi3	無
U+366B	㙫	G,K,T	zap6	無
U+366C	㙬	G,T	ngaan4	無
U+366D	㙭	K,T	？	無
U+366E	㙮	G,K,T,V	taap3	無
U+366F	㙯	G,T	ngaai6	無
U+3670	㙰	G,T	hai6	無
U+3671	㙱	G,T	hou6	無
U+3672	㙲	G,T	zung1	無
U+3673	㙳	G,T	ham2	無
U+3674	㙴	G,T,V	cim1	無
U+3675	㙵	G,T	toi4	無
U+3676	㙶	G,T	tong4	無
U+3677	㙷	G,K,T	zik6	無
U+3678	㙸	G,T	buk6	無
U+3679	㙹	G,T	mung4	無
U+367A	㙺	G,H,K,T	gwaai6	無
U+367B	㙻	G,J,T	cin4	無
U+367C	㙼	G,T	leoi5	無
U+367D	㙽	K	？	無
U+367E	㙾	G,KP,K,T	hok6	無
U+367F	㙿	K	？	無
U+3680	㚀	G,K,T	hei1	無
U+3681	㚁	G,H,T	kiu4	無
